book_id,recipe_id,date_added,date_cooked,comment
103182,2199341,2021-03-04,,This has got to be one of my favourite chicken recipes! The chicken cooks in the broth which makes it very tender.
195740,2359690,2021-03-03,,"I made only the coconut dal, without the aubergines."
88843,839142,2021-02-17,,These were delicious but turned out more like shortbread biscuits rather than cakes. I cut them in love hearts.
191469,2208293,2021-02-12,,I substituted arugula with red bell pepper and it was delicious. Baking took about 15 min. Very tasty.
15348,377474,2021-02-07,,This makes a huge quantity! I baked them without the crumble - they were tasty but nothing special.
15348,377470,2021-02-07,,Used mixture of wholemeal flour and plain. Good but nothing special; wasn't too keen on the baked raspberries.
15348,377471,2021-02-07,,"Very tasty; used 250 g butter but seemed too much next time - less. The glaze only adds sweetness, better without."
15348,377456,2021-02-07,,The vinegar I used was too overpowering. Wouldn't make it again.
15348,377417,2021-02-07,,"I skipped the sage, chillies and cream - it was OK but boring."
140796,1335511,2021-02-03,,"This was ok, but nothing spectacular. The cauliflower was a bit bland, roasting it might have worked better."
193483,2277538,2021-01-24,,"This is an amazing fish, so much more than the sum of its parts. I never got used to tahini in savoury dishes and a generous squeeze of lemon juice was just perfect!"
89689,652158,2021-01-21,,The tart was decent given the effort and ingredients but nothing special.
88843,839669,2021-01-20,2021-01,
88843,839023,2021-01-17,,The pastry was very good and flaky but crumbly and hard to handle. The chocolate flan had a funny taste.... maybe it needed more sugar?!
78420,398099,2021-01-05,,Delicious especially with the cucumber yoghurt
193483,2277620,2020-12-31,2020-12,
195898,2326039,2020-12-27,2020-12,
190161,2205977,2020-12-20,,These were amazing! I used two teaspoons of ginger instead of cinnamon and allspice.
182075,1861999,2020-12-16,2020-12,
195740,2359224,2020-12-10,,Delicious!
182073,1855798,2020-12-09,,Baked as 12 individual muffins. Delicious!
195898,2327372,2020-12-09,,This exceeded my expectations! Delicious! I used feta instead of goats cheese.
167203,1533026,2020-12-03,,Amazing!
140796,1347032,2020-12-03,,"This was very good, better than expected. Not sure why it's 'spring' cabbage, for me cabbage is a winter staple."
195898,2326187,2020-12-01,,Delicious!
140796,1335507,2020-11-28,,Nothing memorable
111275,1211439,2020-11-15,2020-11,Delicious with extra halva.
195898,2326049,2020-11-08,2020-11,Used Mayo instead of feta and still delicious!
195898,2326040,2020-10-26,,Delicious with extra black olives.
125782,1164086,2020-10-21,,I used a 250 g pack of cannelloni (24) and there was some filling leftover which I mixed with the tomato sauce.
195740,2359765,2020-10-17,,Used egg noodles. The tofu was amazing and the noodles were nothing special.
195740,2359782,2020-10-13,,"Substituted some of the aubergines with courgettes, and the kohlrabi with sweet potato. Didn't do the salsa and chillies. Served on naans. Delicious but heavily modified."
186630,2023228,2020-10-10,2020-10,
125809,1184955,2020-09-28,2020-09,They’re ok but a bit dry. Will not make them again.
195740,2359221,2020-09-15,,"It's worth buying the book just for this recipe. I tried it with pasta, as shepherds pie, lasagna - all delicious!"
195740,2360057,2020-09-14,2020-09,
176446,1709982,2020-09-02,,"I skipped the garlic, creme fraiche and vermouth so not sure whether I can claim I’ve cooked this."
128057,1199098,2020-08-31,,The cake was delicious. I added two beaten egg whites for extra moisture and fluffiness.
192334,2180312,2020-08-27,,"This wasn't bad, but the amount of dough was way too much. I would have preferred a thinner layer of dough."
128057,1199097,2020-08-09,2020-08,
192334,2180477,2020-08-09,,Used small sweet peppers instead of the courgette flowers. It was OK but nothing memorable.
167203,1533067,2020-08-05,2020-08,
193483,2277592,2020-07-28,,"Delicious, skipped the tahini."
190161,2200411,2020-07-13,,Delicious with fresh dill instead of mint.
193483,2276736,2020-07-10,,I didn't enjoy the cucumber + tahini combo. Won't be making this again.
193483,2275587,2020-07-02,2020-07,
190161,2205980,2020-06-23,,This is spectacular!
188206,2043738,2020-06-21,,I added some roasted butternut squash and it was lovely!
176446,1707250,2020-06-17,,Tasty and easy. Next time would skip the sherry in the eggs.
176446,1709330,2020-06-17,2020-06,
78420,398114,2020-06-15,2020-06,
78420,398018,2020-06-14,,Tasty but still too hot even though I reduced the chillies and black pepper by a tenth. Next time will go even slower with the heat.
125805,1374373,2020-06-08,2020-06,
125805,1374186,2020-06-04,2018-05,
176325,1757898,2020-06-03,,Delicious!
143737,1354180,2020-05-29,2020-05,
191839,2184678,2020-05-28,2020-05,
176325,1754553,2020-05-26,,"I didn't like it at all, considered it not edible. The whole thing went to the bin unfortunately."
78420,398092,2020-05-19,,Good but nothing special
176325,1757822,2020-05-18,2020-05,
163446,1509744,2020-05-18,2000-05,
182078,1867785,2020-05-17,2020-05,
176325,1757892,2020-05-15,2020-05,Delicious!
129477,1219813,2020-05-15,,Nothing wow. The base would be better with biscuits
176325,1757800,2020-05-12,,Fine but nothing special
186192,2162056,2020-05-10,,Made them with halloumi but next should try with feta.
174412,1635114,2020-05-03,,Failure!
101182,769694,2020-05-03,2017-08,
81036,455410,2020-05-03,2017-10,
107871,929146,2020-05-03,2017-11,
182073,1855641,2020-05-03,2017-11,
167203,1532448,2020-05-03,2017-12,
182075,1861126,2020-05-03,2018-01,
174412,1635115,2020-05-03,2018-02,
162301,1518288,2020-05-02,,Substituted with ham.
162301,1518304,2020-05-02,2018-06,
143737,1353523,2020-05-02,2018-08,
182075,1860596,2020-05-02,2000-01,
78420,398111,2020-05-02,2019-09,
125782,1163723,2020-05-02,2019-10,
191839,2184661,2020-05-02,2019-11,
78420,398110,2020-05-02,2019-11,
191469,2208298,2020-05-02,2020-02,
15348,377487,2020-05-02,,Amazing! wow wow wow!
15348,377459,2020-05-02,,Very tasty; too many potatoes - should use less.
15348,377458,2020-05-02,,Very very tasty. True about the filling - be generous!
15348,377411,2020-05-02,,This was good but the sweet potato was too sweet.
162293,1564462,2020-05-02,2020-02,
192194,2174824,2020-05-02,2020-03,
186630,2023176,2020-03-05,2018-10,
